,id,uuid,creationDate,lastChangeDate,birthYear,lastNegotiation,gender,educationId,driverLicenseTypes,hasVehicle,compensation,compensationCurrencyCode,roadTimeType,businessTripReadiness,workSchedules,employments,workExperience,workExperienceMonthCount,relocation,metroStationName,resumeSpecializations,relocationAreas,languageLevels
641,4080,37f6308b-b8e3-4330-b445-59f2e5c88fb9,2013-04-28,2018-09-14,,2015-06-05,0,1,[],,50000.0,RUR,0,1,[0],[0],3,166,0,,[106],{},"['12.34', '6.57']"
642,5426,37f77d79-246d-4d4e-a313-eba17ca1633e,2008-11-26,2021-08-01,1982.0,2021-09-04,0,1,['B'],0.0,,,0,1,[0],[0],3,203,1,,"[287, 325, 396]",{},"['12.34', '10.57']"
643,5132,381d8368-16d4-4160-9949-4dcf36940dda,2015-01-28,2021-03-14,1985.0,2021-08-10,0,1,['B'],1.0,150000.0,RUR,0,1,[0],[0],3,178,1,,"[149, 242, 306]","[1, 2, 3]","['12.34', '11.57', '6.58', '6.59']"
644,5723,38242f9b-56ec-4ea2-be09-b40dd903ae13,2007-10-30,2017-03-20,1979.0,2019-04-16,0,1,{},,80000.0,RUR,0,1,[0],[0],3,160,0,Udel'naja,"[3, 273, 327]",{},"['12.34', '9.57']"
645,3302,3832ce83-b246-437c-b7e9-588e454dacf9,2011-06-18,2017-12-02,1960.0,2017-11-24,1,1,[],,30000.0,RUR,0,1,"[0, 1, 2]","[0, 1]",3,295,0,,"[149, 183, 334]",{},"['12.34', '6.57']"
646,5193,3846553b-96d3-4b45-9dfa-74846c5ee9ab,2006-10-21,2019-09-03,1972.0,2019-09-05,1,3,[],0.0,40000.0,RUR,0,1,"[0, 2, 1, 3]","[2, 1, 0]",3,253,1,,"[71, 134, 218]",[2],"['12.34', '6.57']"
647,3345,384a4228-bca8-4cbf-80a4-74c39ee0cb2e,2011-04-07,2021-06-03,1979.0,2019-11-05,0,8,[],0.0,60000.0,RUR,0,2,"[2, 0, 1, 3]",[0],3,171,0,Devjatkino,"[203, 211, 273]",{},"['12.34', '9.57']"
648,5004,3871d9b0-158f-47e7-8f35-d389043fd5cb,2015-04-19,2021-08-16,1993.0,2021-08-30,1,3,[],,50000.0,RUR,0,1,[0],[0],2,61,0,,"[337, 469, 737]",{},['12.34']
649,3289,387314ca-fa06-4332-b58c-ef2a9c5f1466,2011-12-02,2021-06-22,1976.0,2021-06-23,1,8,[],0.0,60000.0,RUR,1,1,[0],[0],3,284,0,Komendantskij prospekt,[336],{},['12.34']
650,5643,388d88d7-7e35-4364-8250-a3a15579cd7c,2010-07-26,2018-01-10,1970.0,2010-09-08,0,1,[],,150000.0,RUR,0,0,[0],[0],3,123,0,,"[66, 302, 324]",{},"['12.34', '6.57']"
651,3524,390624e7-f745-4a1b-802b-3d78caac62a7,2014-04-17,2017-09-09,,2016-11-29,0,1,{},,40000.0,RUR,0,0,"[0, 2, 3]","[0, 2]",2,68,0,Prospekt Veteranov,"[10, 246, 400]",{},['12.34']
652,3329,3924bdee-6191-4250-85a4-2ab90f52febd,2014-07-02,2020-05-27,1984.0,2020-05-27,1,1,[],,60000.0,RUR,1,2,[0],[0],3,152,0,Parnas,"[43, 44, 425]",{},['12.34']
653,4643,392e6690-b073-4c96-8f7a-b683c40e6b8b,2015-11-15,2020-08-18,1972.0,2020-05-22,0,8,[],,30000.0,RUR,1,0,"[0, 1]",[0],3,102,0,Prospekt Prosveschenija,"[202, 461]",{},['12.34']
654,5494,3965841d-ee74-4baa-8486-8aafbb1bfa43,2014-08-31,2017-03-14,1992.0,2017-09-03,1,2,{},,20000.0,RUR,1,1,"[2, 3, 4]","[1, 2]",1,30,1,,[447],[2],"['12.34', '6.57']"
655,4024,396d75a7-80f1-4cde-9aaa-8df37c610637,2013-08-28,2021-08-18,1983.0,2021-08-05,0,1,['B'],1.0,,,0,1,"[4, 0]","[0, 2]",3,152,1,,"[307, 321, 532]","[1, 2, 78, 212]","['12.34', '8.57']"
656,3423,3980fc18-33a6-423e-a23c-e24879542f7d,2015-04-06,2019-04-19,1975.0,2019-04-09,1,1,[],,,,0,0,[0],[0],3,226,0,Kupchino,"[43, 463, 469]",{},"['12.34', '6.57']"
657,4860,3993e39f-19c8-423f-ab94-3866f2305dd5,2013-05-20,2021-07-06,1987.0,2021-07-16,0,1,['B'],1.0,120000.0,RUR,1,1,[0],[0],3,129,0,Leninskij prospekt,"[142, 373, 752]",{},"['12.34', '7.57', '7.58']"
658,5501,39d864aa-9400-4146-bb25-9859c3fdd72f,2009-11-23,2018-10-11,1971.0,2016-05-06,0,1,[],,,,0,1,[0],[0],3,195,1,Chernaja rechka,"[136, 275, 563]",[1],"['12.34', '6.57']"
659,3867,39e77850-458b-4d05-bdc4-fd8b32d1e05a,2011-12-28,2020-08-20,1984.0,2020-12-19,1,1,['B'],1.0,150000.0,RUR,2,2,"[0, 3]",[0],3,150,0,Staraja Derevnja,"[33, 43, 454]",{},"['12.34', '6.57']"
660,5302,39e83d8c-b32f-4fc9-8038-ffeaad440793,2009-05-19,2018-07-01,1984.0,2018-08-10,1,1,[],,45000.0,RUR,1,2,"[0, 1, 2, 3]","[0, 1, 2]",3,112,0,Prospekt Bol'shevikov,[242],{},"['12.34', '6.57', '6.59']"
661,3145,39eb9f64-59d1-421f-85d8-081b977007b5,2012-06-14,2019-03-24,1992.0,2017-06-05,1,6,[],,50000.0,RUR,1,1,[0],[0],2,68,0,Staraja Derevnja,[278],{},"['12.34', '9.57']"
662,5892,3a0e3225-ad38-42ea-85fe-42d57be53f68,2010-09-27,2020-08-20,1972.0,2020-04-14,1,1,[],,60000.0,RUR,1,0,[0],[0],3,216,0,,"[43, 425]",{},"['12.34', '6.57']"
663,4925,3a12bfb3-7ac3-4cf0-8db6-c83006a3c471,2015-12-05,2017-03-12,1974.0,2016-01-27,1,8,{},,29000.0,RUR,2,0,[0],[0],2,70,0,,"[47, 181, 429]",{},['12.34']
664,3172,3a1897ab-d484-428f-8d75-0b56f7702011,2010-09-23,2019-09-21,1973.0,2012-02-22,1,1,[],,,,1,2,[0],[0],3,212,0,Akademicheskaja,"[195, 250, 367]",{},"['12.34', '6.57', '6.59']"
665,4797,3a26a3ec-16b7-4bcc-889c-313ab9a8f237,2015-05-20,2021-06-17,1965.0,2018-05-21,0,1,[],,,,1,1,[2],"[0, 1]",3,204,0,Chkalovskaja,[131],{},"['9.9', '12.34', '6.57']"
666,5043,3a608b9f-c9b8-4352-b3dd-f23b149fd0f3,2014-05-01,2021-06-24,1991.0,2021-05-30,1,1,[],,,RUR,0,1,[0],[0],3,99,1,Chernyshevskaja,"[73, 142, 153]",[1],"['12.34', '11.57', '11.58']"
667,5237,3a7ba7a2-65d7-439c-a18e-25e19f4bd0d9,2011-05-27,2020-12-17,1990.0,2021-01-29,1,1,['B'],0.0,25000.0,RUR,0,0,"[1, 3, 2]","[1, 2]",3,118,0,,"[96, 320, 388]",{},"['12.34', '11.57', '6.59']"
668,5873,3a81191e-c3ac-457e-b2c0-06725ed9993d,2010-10-18,2018-06-02,1955.0,2016-08-04,0,1,[],,35000.0,RUR,0,1,[0],[0],3,567,0,,"[373, 451]",{},"['12.34', '6.57', '6.58']"
669,4736,3aa56298-339a-472f-b93a-eb82fb9d0607,2014-10-13,2019-01-13,1971.0,2018-11-29,0,1,[],,45000.0,RUR,0,1,"[0, 4]",[0],3,308,2,,"[83, 325, 396]",[2],"['12.34', '6.57']"
670,4881,3aa9f44c-23af-46fd-a8bb-aa3d2e1b89b0,2014-01-17,2021-09-09,1978.0,2021-07-01,0,6,"['B', 'C']",0.0,75000.0,RUR,1,1,"[0, 1]","[1, 0]",3,90,0,,"[14, 267]",{},"['12.34', '6.57']"
671,3257,3ab6bec2-c83c-4cfb-973e-fe290597e2ca,2013-08-30,2021-08-15,1991.0,2021-09-09,0,1,"['C', 'CE', 'B']",1.0,72000.0,RUR,1,2,[0],[0],2,76,0,Park Pobedy,"[83, 189, 287]",{},"['12.34', '6.57']"
672,4543,3acae3aa-5c52-49ee-978b-4eb7d9871105,2015-11-25,2020-12-10,1986.0,2019-07-23,0,1,[],,,,0,1,[0],[0],3,135,1,,[327],"[1, 2]","['12.34', '6.57', '6.58']"
673,4551,3ad1c992-1ea6-4846-836a-991c4d01213f,2015-07-30,2017-05-23,1969.0,2017-02-01,1,1,{},,55000.0,RUR,0,2,[0],[0],3,278,0,,"[118, 153, 585]",{},"['12.34', '6.57']"
674,3154,3ae53e56-09cf-467f-9564-23083764a358,2012-04-10,2020-04-09,1981.0,2020-04-10,0,8,['B'],1.0,75000.0,RUR,1,1,"[0, 1, 3, 2]","[1, 0, 2]",3,210,0,Prospekt Veteranov,[229],{},"['12.34', '6.58']"
675,5381,3aedb346-7a70-447a-842d-8fa00df05ef5,2013-11-25,2019-02-14,1987.0,2020-06-11,0,1,"['A', 'B']",1.0,,,0,2,[2],[1],3,121,0,,"[287, 325, 375]",{},"['12.34', '6.57']"
676,5746,3b09678c-e6c0-4825-9891-03ad1347501e,2016-01-12,2020-05-25,1973.0,2020-05-18,1,6,[],0.0,45000.0,RUR,1,0,[1],[0],3,111,0,Novocherkasskaja,"[256, 324, 520]",{},"['12.34', '6.57']"
677,5769,3b2ffa71-a82f-4728-980a-1ed28ad10da9,2008-02-21,2018-04-21,1983.0,2018-04-25,1,1,[],,,,0,1,[0],[0],3,146,1,,"[416, 437, 439]",{},"['6.16', '12.34', '10.57', '11.58']"
678,5584,3b3eca43-df6e-40b5-b27b-75cbce0c9aff,2015-06-19,2021-07-14,1977.0,2021-07-14,0,6,"['C', 'B']",1.0,55000.0,RUR,0,1,"[1, 0, 4]",[0],3,256,1,Ulitsa Dybenko,"[17, 53, 69]",{},"['12.34', '6.57']"
679,3837,3b42796d-1735-4d21-a5c1-d1ded8080ff9,2010-09-17,2021-06-07,1967.0,2021-06-07,0,1,"['B', 'C']",1.0,80000.0,RUR,1,2,[0],[0],3,239,0,,"[287, 396, 527]",{},"['12.34', '7.57']"
680,3960,3b4653fd-92ae-4167-b3d8-7201ed9054bb,2015-08-25,2019-08-05,1978.0,2019-07-31,1,8,[],,40000.0,RUR,0,0,[0],[0],3,158,0,Komendantskij prospekt,"[65, 149, 196]",{},['12.34']
681,4976,3b684163-f80b-4a65-8a50-ebda43ffe250,2013-07-30,2019-10-20,1972.0,2019-10-20,1,6,[],0.0,50000.0,RUR,0,1,[0],[0],3,171,0,Devjatkino,"[332, 338]",{},['12.34']
